game_id,score,blinky_kill,inky_kill,playtime
10837776,1090,0,1,25.42
2525094,1110,0,1,35.8
71718468,70,1,0,1.3
82027272,840,0,1,34.29
88300178,80,1,0,1.41
16068387,400,1,0,9.66
31199058,1070,1,0,18.57
54060212,330,1,0,4.34
9868606,250,1,0,5.35
56611833,970,0,1,38.19
20124749,1260,0,1,28.64
85951007,110,0,1,86.7
